Country,Age,EdLevel,DevType,OrgSize,RemoteWork,YearsCode,YearsCodePro,NumLanguages,AISearch,AICode,JobSat,ConvertedCompYearly
France,35-44 years old,Bachelor's degree,Back-end developer,"10,000 or more",Fully remote,14,12,4,1,1,3,113000.0
Ukraine,25-34 years old,Bachelor's degree,DevOps/SRE/platform engineer,500-999,In-person,8,6,5,1,1,8,39000.0
India,45-54 years old,Master's degree,Engineer (other),100-499,Hybrid,20,18,4,0,1,10,58700.0
India,55-64 years old,Less than high school,Full-stack developer,20-99,Fully remote,30,27,6,0,1,4,29900.0
United States,55-64 years old,Bachelor's degree,Data/business analyst,"10,000 or more",In-person,26,25,3,0,1,9,112000.0
United States,25-34 years old,Bachelor's degree,Desktop/embedded developer,"10,000 or more",Hybrid,12,8,6,1,0,7,166900.0
United States,45-54 years old,Master's degree,Data/business analyst,100-499,In-person,19,19,3,1,1,4,181500.0
India,45-54 years old,Bachelor's degree,Front-end developer,"1,000-4,999",Fully remote,25,24,4,1,1,7,45500.0
Canada,25-34 years old,Bachelor's degree,Data/business analyst,100-499,Hybrid,12,10,3,1,1,10,87700.0
United States,45-54 years old,Bachelor's degree,Mobile developer,"1,000-4,999",In-person,20,20,3,0,0,10,197400.0
Brazil,18-24 years old,Bachelor's degree,Full-stack developer,"10,000 or more",Fully remote,4,0,7,1,1,8,36200.0
India,35-44 years old,Some college,Back-end developer,20-99,Hybrid,7,6,4,1,1,7,
Sweden,25-34 years old,Bachelor's degree,Full-stack developer,"1,000-4,999",In-person,2,1,6,1,1,4,92900.0
United Kingdom,18-24 years old,Bachelor's degree,Front-end developer,100-499,Hybrid,3,0,5,1,0,7,79300.0
Netherlands,18-24 years old,Bachelor's degree,Data scientist/ML engineer,100-499,Hybrid,7,6,5,1,1,7,
Spain,35-44 years old,Bachelor's degree,Data scientist/ML engineer,"10,000 or more",In-person,13,12,2,0,0,3,50000.0
Russia,25-34 years old,Bachelor's degree,Data scientist/ML engineer,20-99,Hybrid,10,6,3,1,0,5,44700.0
United Kingdom,35-44 years old,Master's degree,Back-end developer,2-9 employees,Hybrid,9,5,6,1,1,5,88000.0
India,18-24 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Full-stack developer,"5,000-9,999",Hybrid,0,0,3,0,1,9,37500.0
United Kingdom,25-34 years old,Master's degree,Full-stack developer,500-999,In-person,10,8,8,0,1,7,102000.0
India,25-34 years old,Bachelor's degree,Data scientist/ML engineer,100-499,In-person,10,6,6,1,0,5,33000.0
United States,35-44 years old,Master's degree,Full-stack developer,10-19,Fully remote,12,12,4,0,1,6,
India,25-34 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Full-stack developer,2-9 employees,Hybrid,8,7,4,1,1,4,55100.0
United States,35-44 years old,Bachelor's degree,Back-end developer,20-99,In-person,17,17,5,1,1,2,257300.0
India,45-54 years old,Bachelor's degree,Full-stack developer,"1,000-4,999",Fully remote,19,19,5,1,1,7,
United States,35-44 years old,High school/GED,Full-stack developer,100-499,Fully remote,12,12,9,0,1,2,125800.0
Germany,25-34 years old,Master's degree,Full-stack developer,500-999,In-person,6,6,3,1,1,10,162400.0
United States,18-24 years old,Bachelor's degree,Data/business analyst,2-9 employees,Hybrid,13,9,5,1,1,8,184100.0
Germany,45-54 years old,High school/GED,Full-stack developer,10-19,Hybrid,16,14,9,0,1,8,114100.0
Netherlands,18-24 years old,Bachelor's degree,DevOps/SRE/platform engineer,Just me,Fully remote,4,4,6,1,1,8,95400.0
Germany,45-54 years old,Master's degree,Full-stack developer,"1,000-4,999",Fully remote,23,20,4,0,0,8,107600.0
Sweden,25-34 years old,Bachelor's degree,DevOps/SRE/platform engineer,20-99,Hybrid,8,7,5,1,1,2,79400.0
United States,55-64 years old,Master's degree,Front-end developer,"10,000 or more",Fully remote,27,26,2,1,1,7,
Spain,35-44 years old,Master's degree,DevOps/SRE/platform engineer,20-99,Fully remote,13,12,4,0,1,5,107400.0
India,65 years or older,Bachelor's degree,DevOps/SRE/platform engineer,20-99,In-person,38,37,7,1,1,5,
Ukraine,25-34 years old,Bachelor's degree,Front-end developer,100-499,Fully remote,15,14,2,0,1,6,49200.0
United States,35-44 years old,Bachelor's degree,Mobile developer,20-99,Hybrid,14,14,4,1,1,6,118800.0
Poland,25-34 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Front-end developer,"5,000-9,999",Fully remote,4,2,4,1,1,8,50800.0
United States,25-34 years old,Master's degree,Data scientist/ML engineer,"10,000 or more",Fully remote,7,4,5,1,0,1,228200.0
Canada,35-44 years old,"Professional degree (JD, MD, etc.)",Back-end developer,Just me,Hybrid,15,11,4,1,1,6,214000.0
United States,45-54 years old,Associate's degree,Mobile developer,"1,000-4,999",In-person,18,15,2,1,1,10,161700.0
France,65 years or older,Bachelor's degree,DevOps/SRE/platform engineer,"1,000-4,999",Fully remote,38,34,6,1,0,5,
Canada,35-44 years old,High school/GED,Full-stack developer,"10,000 or more",In-person,18,14,1,1,1,7,95800.0
Ukraine,25-34 years old,Bachelor's degree,Front-end developer,100-499,Hybrid,4,1,3,1,1,7,28600.0
Canada,25-34 years old,Master's degree,Mobile developer,20-99,Hybrid,8,8,4,1,0,7,134600.0
India,35-44 years old,Bachelor's degree,Data scientist/ML engineer,100-499,In-person,14,13,4,1,1,3,36300.0
United States,25-34 years old,Some college,Data/business analyst,100-499,Fully remote,3,3,3,1,1,9,95700.0
France,18-24 years old,High school/GED,Full-stack developer,"5,000-9,999",In-person,2,1,5,1,1,7,54100.0
United States,25-34 years old,Bachelor's degree,Back-end developer,"10,000 or more",Fully remote,12,10,6,0,1,7,205700.0
Australia,25-34 years old,Some college,Back-end developer,2-9 employees,Fully remote,11,7,7,1,1,10,111300.0
India,25-34 years old,Bachelor's degree,Full-stack developer,"10,000 or more",Hybrid,8,5,5,1,1,3,33200.0
United Kingdom,25-34 years old,Master's degree,Back-end developer,"10,000 or more",Hybrid,6,4,6,0,1,7,143500.0
Canada,18-24 years old,Bachelor's degree,Front-end developer,"10,000 or more",Hybrid,3,2,2,1,1,8,96300.0
India,18-24 years old,Bachelor's degree,Full-stack developer,"5,000-9,999",Hybrid,0,0,5,1,1,8,42900.0
France,65 years or older,Bachelor's degree,Full-stack developer,"1,000-4,999",Hybrid,32,29,2,1,1,1,145500.0
India,25-34 years old,Master's degree,Full-stack developer,Just me,Fully remote,15,11,6,1,1,8,31100.0
United States,25-34 years old,Some college,Data scientist/ML engineer,"10,000 or more",Hybrid,7,5,5,1,1,10,177900.0
Sweden,35-44 years old,"Professional degree (JD, MD, etc.)",Back-end developer,20-99,Fully remote,17,13,7,0,0,8,
India,25-34 years old,Master's degree,Full-stack developer,2-9 employees,Hybrid,6,5,7,1,1,6,25500.0
Brazil,55-64 years old,Bachelor's degree,Back-end developer,100-499,Hybrid,30,26,4,1,1,9,68200.0
United Kingdom,35-44 years old,Some college,Full-stack developer,"1,000-4,999",In-person,11,11,1,1,1,9,62100.0
France,18-24 years old,Some college,Mobile developer,100-499,Hybrid,2,0,2,1,0,8,68900.0
United States,25-34 years old,Master's degree,Full-stack developer,"5,000-9,999",Fully remote,14,12,6,0,0,8,229800.0
United Kingdom,45-54 years old,Bachelor's degree,DevOps/SRE/platform engineer,100-499,Hybrid,16,16,2,1,1,6,97700.0
India,55-64 years old,Bachelor's degree,Back-end developer,20-99,Fully remote,29,25,1,1,1,5,
Germany,25-34 years old,Bachelor's degree,DevOps/SRE/platform engineer,20-99,Fully remote,4,4,4,1,0,7,74400.0
Sweden,35-44 years old,Master's degree,Full-stack developer,100-499,In-person,19,16,5,0,1,1,130500.0
United States,25-34 years old,Master's degree,Full-stack developer,2-9 employees,In-person,5,5,1,1,1,9,164900.0
Poland,65 years or older,Bachelor's degree,DevOps/SRE/platform engineer,100-499,Hybrid,35,31,3,1,1,9,83100.0
India,25-34 years old,Bachelor's degree,Full-stack developer,2-9 employees,Hybrid,9,9,3,1,1,4,28700.0
India,55-64 years old,Master's degree,Data scientist/ML engineer,"10,000 or more",In-person,31,30,1,1,1,7,60800.0
India,35-44 years old,Master's degree,Back-end developer,500-999,In-person,14,14,2,1,1,4,50600.0
India,35-44 years old,Bachelor's degree,Data scientist/ML engineer,"1,000-4,999",Fully remote,14,14,12,1,0,7,
India,25-34 years old,High school/GED,Mobile developer,20-99,Hybrid,16,12,6,1,1,8,53900.0
India,25-34 years old,Master's degree,Engineer (other),20-99,Hybrid,15,12,4,1,0,6,29700.0
France,25-34 years old,Some college,Back-end developer,"1,000-4,999",Hybrid,6,3,7,1,0,9,62800.0
United States,25-34 years old,High school/GED,Back-end developer,"1,000-4,999",In-person,14,10,5,1,0,9,127200.0
India,25-34 years old,Master's degree,Engineer (other),10-19,Hybrid,10,6,5,0,1,7,33400.0
India,35-44 years old,Bachelor's degree,DevOps/SRE/platform engineer,20-99,In-person,17,13,5,1,1,7,39700.0
Poland,25-34 years old,Master's degree,Full-stack developer,"10,000 or more",Fully remote,1,0,5,1,0,1,58300.0
United States,18-24 years old,Bachelor's degree,Front-end developer,20-99,In-person,3,1,6,0,1,6,98600.0
Ukraine,55-64 years old,"Professional degree (JD, MD, etc.)",Full-stack developer,Just me,Fully remote,26,26,4,1,1,8,48800.0
United States,45-54 years old,Bachelor's degree,Security professional,2-9 employees,Hybrid,26,22,7,1,1,10,114700.0
India,45-54 years old,Master's degree,Full-stack developer,"5,000-9,999",Hybrid,27,23,6,1,0,10,46900.0
United States,65 years or older,Bachelor's degree,Front-end developer,"5,000-9,999",Fully remote,33,29,6,0,0,3,148400.0
India,25-34 years old,Less than high school,Desktop/embedded developer,100-499,In-person,8,5,1,1,1,6,21300.0
Poland,25-34 years old,Bachelor's degree,Mobile developer,10-19,In-person,12,8,4,1,1,2,71200.0
Germany,35-44 years old,Master's degree,DevOps/SRE/platform engineer,100-499,Hybrid,11,11,1,1,1,9,114700.0
United States,35-44 years old,Some college,Full-stack developer,20-99,Fully remote,18,14,3,1,0,8,
United States,25-34 years old,Bachelor's degree,Front-end developer,100-499,In-person,6,6,5,0,1,10,178300.0
United States,35-44 years old,Associate's degree,Data/business analyst,20-99,In-person,14,13,5,1,1,7,157200.0
Ukraine,25-34 years old,High school/GED,Data scientist/ML engineer,2-9 employees,Hybrid,6,4,1,1,1,3,44700.0
Spain,25-34 years old,Bachelor's degree,Desktop/embedded developer,"5,000-9,999",Hybrid,4,1,4,1,1,7,84200.0
Germany,25-34 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Data scientist/ML engineer,500-999,Hybrid,2,2,6,1,1,9,110100.0
Germany,35-44 years old,Bachelor's degree,Back-end developer,"10,000 or more",Hybrid,15,14,5,1,1,2,120800.0
Russia,35-44 years old,Bachelor's degree,Data scientist/ML engineer,100-499,Hybrid,14,12,6,1,1,9,57400.0
Canada,18-24 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Full-stack developer,"10,000 or more",In-person,3,1,6,1,1,7,
Russia,45-54 years old,Master's degree,Back-end developer,"10,000 or more",Fully remote,21,19,8,1,1,4,68500.0
Germany,25-34 years old,Master's degree,DevOps/SRE/platform engineer,20-99,Hybrid,4,4,4,1,0,8,135700.0
United States,18-24 years old,Some college,Full-stack developer,100-499,Fully remote,6,5,3,1,1,2,88900.0
Brazil,45-54 years old,Bachelor's degree,Back-end developer,"5,000-9,999",Hybrid,23,19,2,0,1,4,49300.0
United Kingdom,55-64 years old,Bachelor's degree,Full-stack developer,"5,000-9,999",In-person,25,24,2,1,1,2,84600.0
France,45-54 years old,Bachelor's degree,Full-stack developer,"10,000 or more",Hybrid,23,22,5,1,0,7,120300.0
United States,35-44 years old,Master's degree,DevOps/SRE/platform engineer,"1,000-4,999",Fully remote,12,11,3,1,1,5,170100.0
France,35-44 years old,Bachelor's degree,Desktop/embedded developer,100-499,Hybrid,12,12,2,0,0,5,123100.0
India,25-34 years old,High school/GED,Full-stack developer,100-499,Hybrid,10,10,1,1,0,8,34700.0
India,18-24 years old,"Professional degree (JD, MD, etc.)",Back-end developer,100-499,Hybrid,1,1,3,0,1,3,48500.0
France,25-34 years old,Bachelor's degree,Back-end developer,"10,000 or more",In-person,7,6,4,1,1,8,79300.0
Canada,25-34 years old,"Professional degree (JD, MD, etc.)",Full-stack developer,"10,000 or more",Hybrid,1,1,2,1,1,8,160300.0
France,25-34 years old,Bachelor's degree,Data scientist/ML engineer,2-9 employees,Hybrid,6,4,6,0,1,9,55300.0
Sweden,35-44 years old,High school/GED,Back-end developer,500-999,Hybrid,14,14,2,0,1,8,104900.0
Brazil,25-34 years old,Bachelor's degree,Data scientist/ML engineer,100-499,Hybrid,3,0,2,1,1,8,
France,18-24 years old,Bachelor's degree,Full-stack developer,100-499,Fully remote,2,2,5,1,0,8,95700.0
Canada,25-34 years old,Associate's degree,Back-end developer,"10,000 or more",In-person,5,5,4,1,0,2,85600.0
India,35-44 years old,Bachelor's degree,Full-stack developer,500-999,Hybrid,12,12,8,1,1,6,43700.0
Australia,18-24 years old,Bachelor's degree,Full-stack developer,20-99,Fully remote,5,5,2,1,1,7,83200.0
India,45-54 years old,Bachelor's degree,DevOps/SRE/platform engineer,100-499,In-person,24,21,4,1,1,8,41600.0
Brazil,25-34 years old,Bachelor's degree,Full-stack developer,20-99,Fully remote,13,9,7,1,0,5,47700.0
India,25-34 years old,Bachelor's degree,Full-stack developer,100-499,Hybrid,2,2,5,1,1,8,33200.0
United States,35-44 years old,Bachelor's degree,Data/business analyst,2-9 employees,Hybrid,14,12,1,1,1,6,107900.0
United States,45-54 years old,Bachelor's degree,Front-end developer,2-9 employees,Hybrid,23,20,3,1,1,8,188300.0
Canada,25-34 years old,Some college,Full-stack developer,"1,000-4,999",Fully remote,6,2,8,1,1,4,61200.0
India,35-44 years old,High school/GED,Engineer (other),"1,000-4,999",Fully remote,15,15,6,1,1,5,25000.0
India,35-44 years old,Bachelor's degree,Full-stack developer,"1,000-4,999",Hybrid,23,19,2,1,0,10,53700.0
Canada,25-34 years old,Bachelor's degree,Data scientist/ML engineer,"5,000-9,999",Hybrid,7,5,3,1,0,8,137500.0
United States,45-54 years old,Bachelor's degree,Full-stack developer,"10,000 or more",Hybrid,25,22,6,1,1,9,249500.0
India,35-44 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Front-end developer,"10,000 or more",Hybrid,15,12,7,1,1,4,30200.0
India,35-44 years old,Bachelor's degree,Front-end developer,100-499,In-person,14,10,3,1,1,10,
Brazil,45-54 years old,Bachelor's degree,Full-stack developer,20-99,Fully remote,15,15,2,1,1,8,
United Kingdom,45-54 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Front-end developer,20-99,Fully remote,19,18,5,1,0,7,123900.0
Spain,35-44 years old,"Professional degree (JD, MD, etc.)",Front-end developer,500-999,Fully remote,11,8,4,1,1,1,105900.0
India,45-54 years old,Master's degree,Data scientist/ML engineer,"10,000 or more",Hybrid,26,25,1,1,1,2,52200.0
India,35-44 years old,Some college,DevOps/SRE/platform engineer,"1,000-4,999",Fully remote,15,12,3,0,1,8,24400.0
United States,35-44 years old,Master's degree,Back-end developer,100-499,Fully remote,11,11,4,1,1,8,187800.0
Ukraine,35-44 years old,Master's degree,Back-end developer,500-999,Hybrid,15,15,3,1,1,5,48100.0
Germany,35-44 years old,Master's degree,Front-end developer,100-499,Fully remote,12,9,3,1,1,6,138300.0
Germany,25-34 years old,Bachelor's degree,Data scientist/ML engineer,"10,000 or more",In-person,7,3,1,1,1,8,109100.0
Ukraine,45-54 years old,High school/GED,Back-end developer,"5,000-9,999",In-person,20,20,3,1,0,1,44100.0
India,45-54 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Back-end developer,"5,000-9,999",In-person,23,23,4,1,1,8,49200.0
India,18-24 years old,Bachelor's degree,Front-end developer,100-499,In-person,5,3,8,1,1,6,21800.0
France,45-54 years old,Bachelor's degree,Engineer (other),20-99,Hybrid,21,21,6,1,1,3,101200.0
Netherlands,18-24 years old,Bachelor's degree,Front-end developer,Just me,Fully remote,4,2,4,1,1,4,88700.0
Brazil,25-34 years old,Bachelor's degree,Full-stack developer,2-9 employees,Hybrid,6,6,2,1,1,6,44300.0
Netherlands,35-44 years old,Bachelor's degree,Front-end developer,2-9 employees,Hybrid,13,13,2,1,1,7,67700.0
United Kingdom,25-34 years old,Bachelor's degree,DevOps/SRE/platform engineer,"10,000 or more",Hybrid,6,2,6,1,1,6,108600.0
Spain,35-44 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",DevOps/SRE/platform engineer,2-9 employees,Hybrid,16,12,5,1,1,3,100700.0
United Kingdom,45-54 years old,Bachelor's degree,Data scientist/ML engineer,10-19,Hybrid,17,17,1,1,1,9,157200.0
United States,25-34 years old,Bachelor's degree,DevOps/SRE/platform engineer,100-499,Hybrid,8,5,2,0,1,7,149100.0
United Kingdom,18-24 years old,Master's degree,Back-end developer,100-499,Fully remote,3,0,4,1,1,5,95000.0
Brazil,25-34 years old,Bachelor's degree,Back-end developer,"10,000 or more",Hybrid,13,13,6,1,0,8,36200.0
France,35-44 years old,Bachelor's degree,Data scientist/ML engineer,2-9 employees,Hybrid,15,12,3,1,0,6,
India,65 years or older,Bachelor's degree,Full-stack developer,"10,000 or more",Fully remote,31,31,4,1,1,6,
United States,35-44 years old,Some college,Back-end developer,20-99,Hybrid,16,12,5,1,1,5,181400.0
India,25-34 years old,Some college,DevOps/SRE/platform engineer,"10,000 or more",Hybrid,8,7,3,1,0,6,28400.0
Italy,35-44 years old,Master's degree,Data scientist/ML engineer,100-499,Fully remote,19,17,2,1,1,5,87100.0
United States,25-34 years old,"Professional degree (JD, MD, etc.)",Engineer (other),"1,000-4,999",Fully remote,6,3,1,0,1,10,
Germany,35-44 years old,Master's degree,Security professional,20-99,In-person,10,7,3,0,1,5,
Canada,18-24 years old,High school/GED,Full-stack developer,500-999,Hybrid,8,4,5,1,1,8,90900.0
Spain,35-44 years old,Bachelor's degree,Mobile developer,"1,000-4,999",Hybrid,11,8,2,0,0,4,97800.0
Poland,25-34 years old,Less than high school,Full-stack developer,Just me,Hybrid,4,4,3,1,0,7,31400.0
Russia,55-64 years old,Bachelor's degree,Desktop/embedded developer,2-9 employees,Hybrid,27,27,4,1,1,7,53600.0
Canada,25-34 years old,Associate's degree,Full-stack developer,"10,000 or more",Hybrid,6,5,4,1,0,7,97700.0
Spain,35-44 years old,Master's degree,Back-end developer,100-499,Fully remote,15,14,5,1,0,6,102800.0
India,55-64 years old,Some college,Data/business analyst,"10,000 or more",In-person,27,26,2,1,1,9,35000.0
Germany,18-24 years old,Less than high school,Full-stack developer,"1,000-4,999",Fully remote,1,1,2,0,1,5,
Spain,55-64 years old,Bachelor's degree,Desktop/embedded developer,100-499,Hybrid,29,28,3,1,1,9,71300.0
India,35-44 years old,Some college,Full-stack developer,10-19,Hybrid,13,12,3,1,1,6,27800.0
Spain,18-24 years old,Master's degree,Full-stack developer,"10,000 or more",Hybrid,2,2,5,1,1,8,47000.0
India,25-34 years old,"Professional degree (JD, MD, etc.)",Back-end developer,500-999,Fully remote,10,6,6,1,1,1,37400.0
India,35-44 years old,High school/GED,Front-end developer,20-99,Fully remote,18,15,10,0,1,6,38200.0
India,18-24 years old,Bachelor's degree,Full-stack developer,"1,000-4,999",Hybrid,5,3,5,1,1,8,
United Kingdom,35-44 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Back-end developer,2-9 employees,Hybrid,13,13,1,1,1,5,145400.0
United States,25-34 years old,Master's degree,Desktop/embedded developer,"10,000 or more",Hybrid,0,0,2,1,1,6,128400.0
United States,35-44 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Full-stack developer,2-9 employees,Hybrid,14,12,2,1,1,6,122300.0
Russia,18-24 years old,Some college,Back-end developer,20-99,In-person,5,3,5,1,1,5,34200.0
Ukraine,45-54 years old,Associate's degree,Data/business analyst,2-9 employees,Hybrid,23,22,5,1,1,7,31900.0
United States,55-64 years old,Some college,Back-end developer,2-9 employees,Hybrid,28,26,4,1,1,2,158100.0
United Kingdom,55-64 years old,Bachelor's degree,Back-end developer,100-499,In-person,29,26,2,0,0,9,85300.0
United Kingdom,35-44 years old,Master's degree,Data scientist/ML engineer,"1,000-4,999",Hybrid,13,10,4,1,0,10,140700.0
India,18-24 years old,Some college,Data scientist/ML engineer,"5,000-9,999",Hybrid,6,3,4,1,0,4,36200.0
United Kingdom,35-44 years old,Bachelor's degree,Data scientist/ML engineer,"1,000-4,999",Hybrid,18,15,1,1,1,5,130400.0
Germany,18-24 years old,Bachelor's degree,Security professional,20-99,Fully remote,3,0,3,1,1,10,72700.0
Germany,18-24 years old,Master's degree,Full-stack developer,500-999,In-person,5,4,5,1,1,4,92100.0
Poland,25-34 years old,Less than high school,Engineer (other),"10,000 or more",Fully remote,5,5,1,1,1,3,31000.0
United Kingdom,25-34 years old,Associate's degree,Data/business analyst,100-499,Hybrid,7,5,3,0,1,8,49300.0
India,35-44 years old,Bachelor's degree,DevOps/SRE/platform engineer,20-99,In-person,11,11,3,1,1,8,41500.0
Canada,35-44 years old,Some college,Back-end developer,100-499,Fully remote,16,14,3,1,1,8,132200.0
France,25-34 years old,Bachelor's degree,DevOps/SRE/platform engineer,20-99,Hybrid,7,6,1,0,1,5,101800.0
France,25-34 years old,Bachelor's degree,Full-stack developer,20-99,Hybrid,13,12,1,1,1,6,74600.0
Canada,65 years or older,Master's degree,Data scientist/ML engineer,"5,000-9,999",Hybrid,36,32,6,1,0,4,198400.0
France,25-34 years old,Bachelor's degree,Full-stack developer,"10,000 or more",Fully remote,11,7,5,1,0,4,122700.0
India,25-34 years old,Master's degree,DevOps/SRE/platform engineer,100-499,Fully remote,4,3,4,1,1,7,38200.0
Germany,25-34 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Front-end developer,"5,000-9,999",Fully remote,3,2,5,1,1,8,117900.0
France,35-44 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Full-stack developer,10-19,Fully remote,14,12,5,1,0,6,92800.0
Poland,35-44 years old,Master's degree,Mobile developer,100-499,In-person,13,12,1,1,1,7,55600.0
Germany,25-34 years old,Bachelor's degree,Front-end developer,"1,000-4,999",Hybrid,14,14,5,1,1,6,
India,18-24 years old,Bachelor's degree,Front-end developer,100-499,Fully remote,3,1,6,0,1,9,29300.0
Brazil,35-44 years old,Bachelor's degree,Full-stack developer,2-9 employees,Fully remote,10,9,4,1,1,8,50500.0
United States,35-44 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",DevOps/SRE/platform engineer,"1,000-4,999",Hybrid,15,13,1,1,1,7,186700.0
United States,25-34 years old,Master's degree,Front-end developer,"10,000 or more",Fully remote,2,0,8,0,1,8,128800.0
Germany,55-64 years old,Bachelor's degree,Back-end developer,"1,000-4,999",In-person,31,28,1,1,1,5,92200.0
United States,25-34 years old,High school/GED,Front-end developer,10-19,Hybrid,9,5,3,1,1,10,104200.0
India,25-34 years old,High school/GED,Desktop/embedded developer,2-9 employees,Hybrid,9,7,2,1,1,4,24900.0
India,55-64 years old,Associate's degree,Desktop/embedded developer,20-99,Hybrid,33,31,1,1,0,4,31700.0
Netherlands,25-34 years old,Bachelor's degree,Back-end developer,2-9 employees,Fully remote,6,3,6,1,1,9,98800.0
India,35-44 years old,Bachelor's degree,Back-end developer,"10,000 or more",Fully remote,13,12,7,1,1,5,37500.0
France,25-34 years old,Associate's degree,Front-end developer,"1,000-4,999",In-person,5,3,4,0,0,9,74600.0
France,25-34 years old,Master's degree,Mobile developer,500-999,Fully remote,5,2,5,1,1,5,83500.0
Germany,65 years or older,Associate's degree,Data scientist/ML engineer,"10,000 or more",Hybrid,36,36,5,1,0,5,
United States,25-34 years old,Some college,Back-end developer,2-9 employees,Hybrid,4,1,4,1,0,10,143300.0
Brazil,45-54 years old,Bachelor's degree,Back-end developer,"1,000-4,999",Hybrid,23,19,4,1,1,10,
United States,25-34 years old,Master's degree,Front-end developer,10-19,Fully remote,6,2,2,1,0,10,192600.0
United States,25-34 years old,Bachelor's degree,DevOps/SRE/platform engineer,2-9 employees,Hybrid,8,7,6,1,0,4,
United States,18-24 years old,Bachelor's degree,Full-stack developer,10-19,In-person,8,7,4,1,1,7,256700.0
India,35-44 years old,Bachelor's degree,Data scientist/ML engineer,"10,000 or more",Hybrid,12,8,9,1,1,2,
Spain,25-34 years old,Bachelor's degree,Full-stack developer,100-499,In-person,4,0,3,1,1,8,56600.0
France,45-54 years old,Bachelor's degree,Full-stack developer,2-9 employees,Hybrid,22,20,2,0,0,8,101600.0
India,25-34 years old,Associate's degree,Full-stack developer,500-999,In-person,9,5,6,1,0,10,27600.0
Italy,55-64 years old,Bachelor's degree,Mobile developer,20-99,Hybrid,30,29,3,1,1,9,78900.0
India,25-34 years old,Master's degree,Mobile developer,Just me,Hybrid,8,4,1,0,1,5,36100.0
Canada,45-54 years old,Master's degree,Full-stack developer,"5,000-9,999",In-person,20,19,7,1,1,6,161800.0
Spain,35-44 years old,Bachelor's degree,Front-end developer,10-19,Fully remote,13,13,2,1,1,5,87300.0
Netherlands,35-44 years old,Master's degree,Full-stack developer,"10,000 or more",Hybrid,19,15,6,1,1,2,158000.0
United States,45-54 years old,Bachelor's degree,Data scientist/ML engineer,500-999,Hybrid,15,14,3,1,1,6,123000.0
Brazil,35-44 years old,Some college,Desktop/embedded developer,2-9 employees,Fully remote,14,11,5,1,0,3,59100.0
India,35-44 years old,Bachelor's degree,Full-stack developer,20-99,Hybrid,15,13,3,1,0,8,33100.0
India,18-24 years old,Bachelor's degree,Full-stack developer,500-999,Hybrid,1,0,7,1,1,6,34200.0
Germany,18-24 years old,Some college,DevOps/SRE/platform engineer,20-99,Hybrid,11,7,5,1,1,2,99400.0
Netherlands,45-54 years old,Master's degree,Desktop/embedded developer,100-499,Hybrid,22,18,5,1,0,5,182000.0
United States,35-44 years old,Master's degree,Full-stack developer,"5,000-9,999",Fully remote,12,12,3,1,1,6,
United States,35-44 years old,Bachelor's degree,Front-end developer,"5,000-9,999",Hybrid,17,14,5,1,0,7,195700.0
United States,25-34 years old,Bachelor's degree,DevOps/SRE/platform engineer,"1,000-4,999",Hybrid,4,3,12,1,1,8,213500.0
United States,18-24 years old,Associate's degree,Front-end developer,"10,000 or more",Hybrid,3,0,1,1,1,8,86100.0
United States,18-24 years old,Bachelor's degree,Back-end developer,20-99,Hybrid,0,0,4,1,1,10,207100.0
Ukraine,35-44 years old,High school/GED,Front-end developer,10-19,Hybrid,17,15,7,1,0,9,31800.0
India,25-34 years old,"Other doctoral degree (Ph.D, Ed.D, etc.)",Front-end developer,"5,000-9,999",Hybrid,7,4,2,1,1,7,
United States,25-34 years old,Bachelor's degree,Front-end developer,20-99,Hybrid,2,2,5,1,1,3,88100.0
Canada,25-34 years old,Master's degree,Data/business analyst,100-499,Hybrid,9,8,4,0,1,8,
Netherlands,18-24 years old,Some college,Full-stack developer,"1,000-4,999",In-person,3,1,4,1,1,6,44800.0
Poland,35-44 years old,Master's degree,Front-end developer,100-499,Hybrid,14,10,4,1,0,6,
Brazil,25-34 years old,Master's degree,Full-stack developer,10-19,Fully remote,5,5,3,1,0,6,46900.0
United States,35-44 years old,Master's degree,Full-stack developer,"1,000-4,999",Hybrid,18,14,4,1,1,4,206600.0
Netherlands,25-34 years old,"Professional degree (JD, MD, etc.)",Desktop/embedded developer,"5,000-9,999",Fully remote,14,12,6,1,0,3,108200.0
Germany,25-34 years old,Some college,Mobile developer,Just me,Hybrid,7,7,1,1,1,9,68500.0
France,18-24 years old,Bachelor's degree,Full-stack developer,500-999,Fully remote,5,5,8,1,0,4,84100.0
Sweden,18-24 years old,Bachelor's degree,Data/business analyst,100-499,In-person,2,0,2,1,1,8,84500.0
